b,g,r,clase
195,178,153,1
195,178,152,1
195,178,152,1
195,178,152,1
194,177,151,1
194,177,150,1
194,177,150,1
194,178,150,1
193,177,148,1
193,177,148,1
193,175,149,1
194,174,149,1
195,175,148,1
0,110,80,1
0,123,97,1
0,124,97,1
0,121,95,1
0,101,81,1
154,192,189,1
192,209,207,1
217,228,226,1
218,232,230,1
210,229,226,1
207,233,229,1
178,219,212,1
204,230,226,1
251,239,241,1
232,232,232,1
199,228,223,1
167,212,204,1
171,221,213,1
183,231,223,1
178,213,207,1
194,218,215,1
214,246,241,1
179,226,218,1
142,187,180,1
185,210,205,1
229,239,236,1
229,235,232,1
223,230,227,1
216,228,224,1
205,225,218,1
200,225,216,1
204,225,217,1
205,224,215,1
206,228,219,1
205,230,220,1
175,204,193,1
180,213,200,1
211,242,228,1
219,234,223,1
214,211,204,1
231,225,219,1
232,234,230,1
231,239,236,1
230,238,235,1
230,238,235,1
228,245,241,1
194,228,220,1
143,185,177,1
156,192,185,1
208,231,226,1
230,243,239,1
237,242,240,1
238,241,239,1
236,242,239,1
235,242,239,1
242,240,239,1
249,239,239,1
247,239,239,1
236,241,239,1
229,243,239,1
233,244,241,1
242,245,243,1
244,245,243,1
244,245,243,1
244,245,243,1
245,244,243,1
246,244,243,1
246,244,243,1
246,244,243,1
246,244,243,1
245,241,240,1
243,239,238,1
243,239,238,1
243,239,238,1
244,239,238,1
243,238,237,1
243,238,237,1
243,238,237,1
242,238,237,1
241,237,236,1
240,239,235,1
240,239,235,1
240,239,235,1
240,239,235,1
239,238,234,1
239,238,234,1
239,238,234,1
238,237,233,1
238,237,233,1
238,237,233,1
238,237,233,1
238,237,233,1
238,237,233,1
238,237,233,1
237,236,232,1
237,236,232,1
237,236,232,1
236,235,231,1
236,235,231,1
235,234,232,1
235,233,232,1
235,233,232,1
235,233,232,1
235,233,232,1
235,233,232,1
235,233,232,1
235,233,232,1
235,233,232,1
235,233,232,1
237,235,234,1
237,235,234,1
237,235,234,1
237,235,234,1
238,236,235,1
238,236,235,1
238,236,235,1
239,237,236,1
239,237,237,1
239,236,234,1
238,233,230,1
238,233,230,1
238,233,230,1
237,232,229,1
237,232,229,1
237,232,229,1
236,231,228,1
236,231,228,1
236,231,228,1
236,231,228,1
236,231,228,1
236,231,228,1
235,230,227,1
235,230,227,1
235,230,227,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
234,229,226,1
233,228,225,1
233,228,225,1
233,228,225,1
233,228,225,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
231,225,222,1
231,224,221,1
231,224,221,1
231,224,221,1
231,224,221,1
231,224,221,1
231,224,221,1
231,224,221,1
231,224,221,1
231,224,221,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
232,227,224,1
232,227,224,1
232,227,224,1
231,226,223,1
231,226,223,1
231,226,223,1
230,225,222,1
230,225,222,1
230,225,222,1
231,226,223,1
231,226,223,1
231,226,223,1
230,225,222,1
230,225,222,1
229,224,221,1
229,224,221,1
229,224,221,1
229,224,221,1
230,224,220,1
231,223,217,1
230,223,214,1
230,223,214,1
230,222,214,1
229,222,213,1
228,220,213,1
227,220,212,1
227,219,212,1
227,219,211,1
225,218,210,1
224,216,209,1
224,217,208,1
223,216,208,1
223,216,207,1
223,215,207,1
222,214,207,1
221,214,205,1
220,212,205,1
220,213,205,1
217,210,201,1
215,208,199,1
215,208,199,1
216,207,197,1
215,206,196,1
214,205,195,1
213,204,195,1
213,204,193,1
213,204,191,1
212,203,190,1
211,201,187,1
211,200,186,1
211,200,186,1
210,199,185,1
209,198,184,1
211,198,182,1
210,197,181,1
209,196,180,1
209,196,180,1
208,195,180,1
204,192,180,1
203,191,179,1
203,191,179,1
202,190,179,1
202,190,177,1
203,190,176,1
202,189,175,1
202,189,175,1
202,189,175,1
203,189,174,1
204,189,173,1
203,188,172,1
203,187,170,1
202,186,169,1
201,185,168,1
201,185,168,1
200,184,167,1
199,183,166,1
198,183,164,1
199,183,164,1
200,182,162,1
199,182,161,1
199,182,161,1
198,181,160,1
197,180,159,1
196,180,158,1
196,180,157,1
196,180,157,1
195,179,156,1
195,180,154,1
195,180,154,1
195,180,154,1
194,179,154,1
194,179,153,1
194,180,152,1
194,180,152,1
193,179,151,1
193,179,151,1
193,178,151,1
194,177,151,1
195,178,151,1
0,118,92,1
0,123,97,1
0,91,68,1
0,109,90,1
132,166,164,1
195,212,210,1
220,234,231,1
211,231,228,1
193,218,214,1
187,218,213,1
210,234,230,1
255,244,246,1
240,235,236,1
205,234,230,1
173,225,217,1
145,211,200,1
138,204,193,1
157,200,194,1
198,221,218,1
219,249,244,1
180,228,220,1
124,170,163,1
174,200,195,1
233,241,238,1
235,236,234,1
226,228,226,1
217,224,221,1
202,218,212,1
199,221,213,1
201,221,213,1
207,225,217,1
218,238,229,1
207,228,219,1
157,181,171,1
163,190,178,1
208,233,220,1
225,237,227,1
222,218,210,1
231,222,218,1
230,230,225,1
232,240,236,1
232,240,238,1
229,240,236,1
222,244,239,1
173,217,209,1
114,167,157,1
150,193,185,1
218,246,240,1
229,246,242,1
236,242,239,1
240,241,239,1
239,241,239,1
239,241,239,1
245,240,239,1
251,239,239,1
247,239,239,1
233,242,239,1
225,243,239,1
230,244,240,1
238,244,241,1
240,243,241,1
242,243,241,1
242,243,241,1
243,242,241,1
244,242,241,1
244,242,241,1
246,242,241,1
246,242,241,1
245,241,240,1
244,240,239,1
245,240,239,1
245,240,239,1
244,239,238,1
244,239,238,1
243,238,237,1
243,238,237,1
243,238,237,1
242,238,237,1
242,239,235,1
240,239,235,1
240,239,235,1
240,239,235,1
239,238,234,1
239,238,234,1
239,238,234,1
238,237,233,1
238,237,233,1
238,237,233,1
239,238,234,1
239,238,234,1
239,238,234,1
238,237,233,1
238,237,233,1
238,237,233,1
238,237,233,1
237,236,232,1
237,236,232,1
236,234,232,1
235,233,232,1
235,233,232,1
235,233,232,1
235,233,232,1
235,233,232,1
235,233,232,1
235,233,232,1
235,233,232,1
236,234,233,1
239,237,236,1
239,237,236,1
239,237,236,1
239,237,236,1
239,237,236,1
240,238,237,1
240,238,237,1
241,239,238,1
241,239,239,1
240,237,235,1
239,234,231,1
239,234,231,1
238,233,230,1
238,233,230,1
238,233,230,1
238,233,230,1
237,232,229,1
237,232,229,1
237,232,229,1
237,232,229,1
237,232,229,1
237,232,229,1
236,231,228,1
236,231,228,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
235,230,227,1
234,229,226,1
234,229,226,1
233,228,225,1
233,228,225,1
233,228,225,1
233,228,225,1
233,228,225,1
233,228,225,1
233,228,225,1
233,228,225,1
233,228,225,1
233,228,225,1
233,228,225,1
233,228,225,1
233,228,225,1
233,227,224,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
233,226,223,1
235,228,225,1
235,228,225,1
234,227,224,1
234,227,224,1
234,227,224,1
233,226,223,1
233,226,223,1
232,225,222,1
232,225,222,1
232,225,222,1
231,226,223,1
231,226,223,1
231,226,223,1
231,226,223,1
231,226,223,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
232,227,224,1
233,228,225,1
233,228,225,1
233,228,225,1
233,228,224,1
232,226,222,1
233,226,219,1
234,225,219,1
233,224,219,1
232,224,217,1
232,223,218,1
231,223,216,1
230,222,217,1
230,222,216,1
229,221,214,1
226,217,213,1
226,218,211,1
226,217,212,1
226,217,211,1
225,216,210,1
224,215,210,1
223,215,208,1
223,214,210,1
222,214,208,1
220,213,205,1
218,212,203,1
218,211,202,1
219,210,200,1
217,208,198,1
216,207,197,1
214,205,195,1
213,204,193,1
213,204,191,1
212,203,190,1
210,199,187,1
210,198,185,1
210,199,184,1
209,198,184,1
209,198,184,1
210,197,181,1
209,196,180,1
209,195,179,1
207,195,180,1
206,195,181,1
205,193,181,1
205,193,181,1
204,192,180,1
203,191,179,1
204,191,179,1
205,192,178,1
204,191,177,1
203,190,176,1
203,190,176,1
205,191,176,1
206,191,175,1
205,190,174,1
206,190,173,1
205,188,171,1
203,187,170,1
203,187,170,1
202,186,169,1
201,185,168,1
201,185,167,1
202,186,167,1
203,186,166,1
202,186,164,1
202,185,164,1
201,185,164,1
200,184,163,1
199,183,162,1
199,183,161,1
199,183,160,1
198,183,160,1
198,183,159,1
198,184,158,1
198,183,157,1
197,183,157,1
197,183,157,1
197,184,156,1
197,183,155,1
196,183,155,1
196,183,155,1
196,182,155,1
197,180,154,1
198,181,154,1
0,119,93,1
0,100,78,1
0,80,59,1
0,110,91,1
145,169,168,1
197,214,212,1
228,244,241,1
214,237,233,1
186,215,210,1
176,212,206,1
212,235,231,1
255,243,245,1
244,236,238,1
215,239,236,1
181,236,228,1
124,205,193,1
92,176,163,1
141,194,185,1
209,233,229,1
223,250,245,1
183,228,221,1
117,161,153,1
176,199,194,1
241,242,242,1
237,232,233,1
228,226,225,1
222,227,225,1
206,220,216,1
201,219,213,1
199,216,208,1
209,222,215,1
227,238,231,1
208,219,212,1
162,174,166,1
171,186,177,1
215,230,220,1
228,233,226,1
221,212,207,1
230,218,215,1
234,231,226,1
234,239,236,1
231,237,235,1
228,239,235,1
214,241,234,1
152,200,192,1
